Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",106.550000,-83.500000,0.000000,top
"C2","22u","C_0805_2012Metric",112.000000,-87.500000,90.000000,top
"C3","10u","C_0603_1608Metric",89.200000,-68.000000,0.000000,top
"C4","100n","C_0402_1005Metric",84.750000,-73.500000,90.000000,top
"C5","100n","C_0402_1005Metric",94.400000,-83.000000,180.000000,top
"C6","100n","C_0402_1005Metric",98.500000,-74.200000,-90.000000,top
"C7","100n","C_0402_1005Metric",89.200000,-70.300000,0.000000,top
"C8","10n","C_0402_1005Metric",85.000000,-78.500000,90.000000,top
"C9","1u","C_0402_1005Metric",85.000000,-82.700000,180.000000,top
"C10","1u","C_0402_1005Metric",85.000000,-84.300000,180.000000,top
"C11","100n","C_0402_1005Metric",89.400000,-83.050000,0.000000,top
"C12","10p","C_0402_1005Metric",83.250000,-74.450000,90.000000,top
"C13","10p","C_0402_1005Metric",83.250000,-76.450000,90.000000,top
"D1","RED","LED_0603_1608Metric",114.500000,-87.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",87.000000,-83.500000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",114.400000,-75.400000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",106.580000,-59.500000,-90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",91.540000,-59.500000,-90.000000,top
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",86.690000,-94.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",115.000000,-84.500000,0.000000,top
"R2","10k","R_0402_1005Metric",75.000000,-68.200000,90.000000,top
"R3","1k5","R_0402_1005Metric",103.000000,-74.950000,-90.000000,top
"R4","1k5","R_0402_1005Metric",89.300000,-89.900000,0.000000,top
"R5","1k5","R_0402_1005Metric",92.490000,-90.000000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",70.500000,-68.000000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",107.000000,-89.500000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",91.662500,-76.750000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",79.850000,-75.000000,-90.000000,top
